id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast,belief_at_stake
11,ZhouDinner/middle/58,,mother,"GFA: 要么你先吃.
MOT: 不要,你先吃.
MOT: 还是你觉得你比我吃得快?",second_person,second_person,polar,declarative,no,no,no,no,no,no,no,no,no,"grandpa: or you eat first.
mother: no, you eat first.
mother: or do you think you eat faster than i do?",no,no,
12,ZhouDinner/middle/58,,mother,MOT: 你有没有觉得你的饭已经冷掉啦?,second_person,NP,polar,declarative,no,no,no,no,no,no,已经,no,no,mother: do you feel like/think your food is already cold?,no,no,
13,ZhouDinner/middle/59,,grandma,GMO:  我觉得这个桌子太小.,first_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,grandma: i think this table is too small.,no,no,
14,ZhouDinner/middle/65,,child,"CHI: 有个是大的.
CHI: 爸爸,我觉得这个好大.
FAT: 一样大的.
FAT: 嗯这个大的",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,p,"before, after","child: there’s one that is big/there is a big one.
child: dad, i think this is very big.
father: (they are) the same size.
father: yeah, this is big",no,no,
15,ZhouDinner/middle/66,,mother,"MOT: <你觉得这个>[//]我觉得这个菠菜特别好吃.
CHI: 不要啊.",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,"mother: i think this spinach is very delicious.
child: no (about the spinach)",no,no,
16,ZhouDinner/middle/66,,mother,"MOT: 学校里边看牙齿啊?
MOT: 你觉得你的牙齿蛀掉了吗?
CHI: 蛀掉了.",second_person,NP,polar,declarative,no,no,no,no,no,no,no,p_answer,after,"mother: getting your teeth examined in school?
mother: do you think your teeth have decayed/have cavities?
child: decayed.",no,no,
17,ZhouDinner/middle/66,,child,"CHI: 爸爸,你最喜欢吃的是什么?
FAT: 青菜!
CHI: 我觉得你最喜欢吃的是巧克力.
MOT: 巧克力啊?",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,p_alt,before,"child: dad, what is your favorite food?
father: vegetables!
child: i think your favorite food is chocolate.
mother: chocolate?",no,no,
18,ZhouDinner/middle/66,,child,"CHI: 我觉得我是想要说的.
CHI: 但是我不能说.",first_person,first_person,declarative,declarative,no,no,是,no,no,no,no,p_alt,after,"child: i think i do want to say (something).
chidl: but i cannot say (something).",no,no,
19,ZhouDinner/middle/66,,mother,"MOT: 快点吃!
MOT: 你也要去那边玩一玩.
MOT: 然后你也会觉得啊这个菜真好吃!
CHI: 不要你玩!",second_person,NP,declarative,declarative,也,会,no,no,no,no,no,no,no,"mother: eat faster!
mother: then you should go have some fun over there too.
mother: then you’ll also think, wow, this food is really delicious!
child: (i) don’t want you to play!",no,no,
20,ZhouDinner/middle/70,,mother,"MOT: 你把菜倒是都吃完了.
MOT: 但是妈妈觉得你菜和饭都要吃啊.
MOT: 不能光吃菜的!",NP,second_person,declarative,declarative,no,no,no,no,no,no,no,p_related,"before, after","mother: you finished all the vegetables.
mother: but mom thinks you should eat both the rice and vegtables.
mother: (you) shouldn’t only eat vegetables.",no,no,
21,ZhouDinner/middle/70,,child,"CHI: 我觉得xxx认识xxx.
FAT: 认识什么了?
CHI: 认识xxx.",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,"child: i think xxx knows xxx.
father: knows what?
child: knows xxx.",no,no,
22,ZhouDinner/upper/02,,child,"CHI: 外婆,我觉得这个肯定很好吃.
CHI: 可是我现在就想吃.",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,"child: grandma, i think this is definitely very delicious.
child: but i want eat (it) now.",no,no,
23,ZhouDinner/upper/02,,,,,,,,,,,,,,,,,,,,
24,ZhouDinner/upper/02,,,,,,,,,,,,,,,,,,,,
25,ZhouDinner/upper/02,,mother,"MOT: 你觉得味道怎么样?
CHI: 好!
MOT: 很好啊?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"mother: what do you think about the flavor?
child: good!
mother: good?",no,no,
26,ZhouDinner/upper/02,,mother,"MOT: 今天画画课,你觉得怎么样?
MOT: 我就觉得你的那个<大象呀>[//]大象身上的毯子没画好!
CHI: 有点乱.
MOT: 对[/]对[/]对!",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,no,no,"mother: today’s drawing class, what do you think?/ what do you think about today’s drawing class?
mother: i just think your elephant// the blanket on the elephant wasn’t drawn well.
child: a bit messy.
mother: yeah yeah yeah.",no,no,
27,ZhouDinner/upper/02,,mother,"MOT: 今天画画课,你觉得怎么样?
MOT: 我就觉得你的那个<大象呀>[//]大象身上的毯子没画好!
CHI: 有点乱.
MOT: 对[/]对[/]对!",first_person,NP,declarative,declarative,就,no,no,no,no,没,no,no,no,"mother: today’s drawing class, what do you think?/ what do you think about today’s drawing class?
mother: i just think your elephant// the blanket on the elephant wasn’t drawn well.
child: a bit messy.
mother: yeah yeah yeah.",no,no,
28,ZhouDinner/upper/07,,father,"FAT: 那个鸡蛋给谁吃啊?
FAT: 嗯?
FAT: 你觉得这个鸡蛋给谁吃啊?
CHI: 要不给你吃?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,direct_p?,before,"father: who was that egg for?
father: yes?
father: what do you think this egg is for?
child? how about I give you it to eat? ",direct,before,
29,ZhouDinner/upper/19,,mother,"MOT: 那我们明天回家自己学着做吧?
CHI: 嗯.
CHI: 我最喜欢要这个!
MOT: 那你这个,喜不喜欢?
CHI: 不.
MOT: 那你觉得汉堡包应该xxx?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,no,no,"mother: then shall we go home tomorrow and try making it ourselves?
child: yeah.
child: i like this one the most–i want this one!
mother: then do you like this one?
child: no.
mother: then what do you think the hamburgers should xxx?",no,no,
30,ZhouDinner/upper/19,,mother,"MOT: 我就问你吗.
MOT: 这个汉堡包,你觉得应该怎么做?
MOT: 想一想!
CHI: 应该放上一层皮,一层面包,再一层肉,再一层黄油,再一层肉串,还有肉!",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"mother: i just want to ask you.
mother: this hamburger, how do you think it should be made?
mother: think about it.
child: (we) should put a layer of skin, then a layer of bread, then a layer of meat, then some butter, then a layer of meat skewers, and meat!",觉得,before,
31,ZhouDinner/upper/19,,mother,"MOT: 那你觉得它为什么要把这些东西放在一起呢?
CHI: 这样就更美味啊!",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"mother: then why do you think (we) should put these things together?
child: this makes it more delicious!",no,no,
32,ZhouDinner/upper/29,,child,"CHI: 妈妈,我觉得这个,我们学校也有.
CHI: 像一个城堡.
MOT: 哪个像城堡?",first_person,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,"child: mom, i think this one, our school has this one too.
child: (it is) like a castle.
mother: which one is like a castle?",no,no,
33,ZhouDinner/upper/44,,child,CHI: 我觉得它很有弹性的. [the kid was playing with some food],first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,no,no,child: i think it (the food) is springy (chewy)!,no,no,
34,ZhouDinner/upper/44,,father,"FAT: 我觉得我们像外地人一样的.
FAT: 这个视频都是说普通话.",first_person,first_person,declarative,declarative,no,no,no,no,no,no,no,no,no,"father: i think we are like non-locals.
father: (people in) this video/recording speak Mandarin.",no,no,no
35,ZhouDinner/upper/45,,mother,"CHI: 妈妈,谁白?
MOT: 你觉得谁白啦?
CHI: 谁白?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,direct_p?,"before, after","child: mom, who (whose skin) is fair?
mother: who do you think looks fair?
child: who is fair?",direct,before,yes
36,ZhouDinner/upper/60,,,,,,,,,,,,,,,,,,,,
37,ZhouDinner/upper/62,,mother,"MOT: 其实我觉得鱼肉很好吃的.
MOT: 你不要?",first_person,NP,declarative,declarative,其实,no,no,no,no,no,no,no,no,"mother: actually i think the fish is very delicious.
mother: you don’t want?",no,no,
38,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 你来帮我,好不好?
CHI: 嗯.
TEA: 台灯你觉得可以放哪?
TEA: 站起来没关系.
TEA: 可以走动没关系.
TEA: 哦,你想放哪里?
TEA: 放阳台,是不是?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,no,no,"teacher: can you help me?
child: sure.
teacher: the desk lamp, where do you think (we) can put (it)?
teacher: it’s okay to stand up.
teacher: it’s okay to walk around, don’t worry.
teacher: oh, where do you want to put it?
teacher: on the balcony, right?",想,after,
39,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 好,这是什么呀?
CHI 这个我不知道.
TEA: 你觉得这是什么?
CHI: 被子吗?
TEA: 哦,那这个呢?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,"direct_p?, p_answer","before, after","teacher: okay, what is this?
child: this, i don’t know.
teacher: what do you think it is?
child: a blanket?
teacher: oh, what about this?",不知道,before,yes
40,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 你觉得这个是房间还是更适合放浴缸呢?
CHI: 浴缸.
TEA: 为什么?",second_person,NP,polar,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: do you think this room is better as a bedroom or better for a bathtub? 
child: bathtub.
teacher: why?",no,no,
41,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 那这里你觉得应该是什么?
TEA: 猜猜看.
CHI: 卫生间那应该放这边.",second_person,NP,wh_question,declarative,no,no,应该,no,no,no,no,no,no,"teacher: then what do you think should be here?
teacher: take a guess.
child: the bathroom should be on this side.",猜,after,yes
42,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 那这里你觉得它是哪里?
CHI: 房间.
TEA: 房间,房间是卧室还是厨房呢?
CHI: 厨房.",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: then here, where do you think it is?
child: the room.
teacher: room, is the room the bedroom or the kitchen?
child: the kitchen.",no,no,
43,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 那窗帘放哪里?
CHI: 不知道.
TEA: 你觉得窗帘可以放哪里?
CHI: 仓库旁边.",second_person,NP,wh_question,declarative,no,no,可以,no,no,no,no,"direct_p?, p_answer","before, after","teacher: then where (should we) put the curtain?
child: i don’t know.
teacher: where do you think (we can) put the curtain?
child: next to the storage.",不知道,before,yes
44,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 可以呀那你自己决定吧!
TEA: 你觉得哪里更适合?
CHI: 我觉得...
TEA: 那我们放卧室,好不好?",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,juede_answer,after,"teacher: sure! Then you can make the decision!
teacher: where do you think is better?
child: i think…
teacher: then shall we put (it) in the bedroom?",no,no,yes
45,ZhouAssessment/4.5-5/FJHan_Shuheng,,child,"TEA: 可以呀那你自己决定吧!
TEA: 你觉得哪里更适合?
CHI: 我觉得...
TEA: 那我们放卧室,好不好?",incomplete,incomplete,incomplete,incomplete,no,no,incomplete,incomplete,no,incomplete,incomplete,incomplete,incomplete,"teacher: sure! Then you can make the decision!
teacher: where do you think is better?
child: i think…
teacher: then shall we put (it) in the bedroom?",觉得,before,
46,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 篮子可以用来做什么?
CHI: 装东西.
TEA: 装东西.
TEA: 那你觉得可以放哪里装东西?
TEA: 买菜要不要装,要不要?
CHI: 要.",second_person,dropped,wh_question,declarative,no,no,可以,no,no,no,no,no,no,"teacher: what can a basket be used for? 
child: to carry/store stuff.
teacher: to carry stuff.
teacher: then where do you think (we) can put (it) to carry/store things?
teacher: does doing grocery require carrying? Do you need a bag to store/carry the vegetables? Do you?
child: yes.",no,no,
47,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 这里还有一个.
TEA: 你觉得可以放哪里?
CHI: 这个应该拔出来.
TEA: 嗯,这个应该拔出来然后呢?",second_person,dropped,wh_question,declarative,no,no,可以,no,no,no,no,p_answer,after,"teacher: here is another one.
teacher: where do you think (we can) put (it)?
child: this should be pulled out.
teacher: yeah, this should be pulled out. And then?",no,no,
48,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 什么颜色的光?
CHI: 嗯,红蓝.
TEA: 对了,可以放哪个房间?
TEA: 红蓝你觉得可以可以放哪里?
TEA: 客厅有的时候开舞会的时候可以有这种颜色会不会好?
CHI: 很好.
TEA: 那可以放哪里?",second_person,NP,wh_question,declarative,no,no,可以,no,no,no,no,direct_p?,before,"teacher: which color of the light?/which color is the light?
child: yeah, red blue.
teacher: that’s right.  Which room can (we) put it?
teacher: red blue, where do you think (we) can can put it?
Teacher: when we sometimes hold dance parties in the living room, would it be nice to have this kind of color? 
child: very good.
teacher: then where can (we) put it?",direct,before,yes
49,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 这是谁?
CHI: 妈妈.
TEA: 妈妈你觉得她在干吗?
CHI: 我觉得我...",second_person,second_person,wh_question,declarative,no,no,no,no,no,在,no,juede_answer,after,"teacher: who is this?
child: mom/mummy pig.
teacher: mommoy pig, what do you think she’s doing?
child: i think i…",no,no,
50,ZhouAssessment/4.5-5/FJHan_Shuheng,,child,"TEA: 这是谁?
CHI: 妈妈.
TEA: 妈妈你觉得她在干吗?
CHI: 我觉得我...",first_person,first_person,incomplete,incomplete,no,no,incomplete,incomplete,no,incomplete,incomplete,incomplete,incomplete,"teacher: who is this?
child: mom/mummy pig.
teacher: mom/mommy pig, what do you think she’s doing?
child: i think i…",觉得,before for question,
51,ZhouAssessment/4.5-5/FJHan_Shuheng,,teacher,"TEA: 我们先把这些东西摆进去.
TEA: 你觉得这个放哪里?
CHI: 妈妈我我觉得她应该在可能小猪佩奇睡觉.
TEA: 哦,好的,可以就让她睡觉.",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,no,no,"teacher: let’s first put these things in.
teacher: what do you think (we) should put this?
child: mom/mummy pig, i i think she should be, maybe the peppa pig is sleeping.
teacher: oh, okay, (we) can let her sleep.",no,no,
52,ZhouAssessment/4.5-5/FJHan_Shuheng,,child,"TEA: 我们先把这些东西摆进去.
TEA: 你觉得这个放哪里?
CHI: 妈妈我我觉得她应该在可能小猪佩奇睡觉.
TEA: 哦,好的,可以就让她睡觉.",first_person,third_person,declarative,declarative,no,no,应该，可能,no,no,no,no,no,no,"teacher: let’s first put these things in.
teacher: what do you think (we) should put this?
child: mom/mummy pig, i i think she should be, maybe the peppa pig is sleeping.
teacher: oh, okay, (we) can let her sleep.",觉得,before for question,
53,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 有一栋房子.
TEA: 你觉得房子漂亮吗?
TEA: 嘴巴说漂亮吗?
TEA: 你觉得漂亮吗?
CHI: 漂亮.",second_person,NP,polar,declarative,no,no,no,no,no,no,no,no,no,"teacher: there’s a house.
teacher: do you think the house is beautiful?
teacher: does the mouth say beautiful? 
teacher: do you think (it is) beautiful?
child: beautiful.",no,no,
54,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 有一栋房子.
TEA: 你觉得房子漂亮吗?
TEA: 嘴巴说漂亮吗?
TEA: 你觉得漂亮吗?
CHI: 漂亮.",second_person,dropped,polar,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: there’s a house.
teacher: do you think the house is beautiful?
teacher: does the mouth say beautiful? 
teacher: do you think (it is) beautiful?
child: beautiful.",no,no,
55,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 他会在哪里呢?
TEA: 你来摆吧?
TEA: 你觉得他现在应该是在做什么猪爸爸?
TEA: 站起来?",first_person,third_person,wh_question,declarative,no,no,应该,no,no,no,no,no,no,"teacher: where will he be?
teacher: do you want to set it up?
teacher: what do you think he is doing, daddy pig?
teacher: standing up?",no,no,
56,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 你把他摆过去.
TEA: 你觉得猪爸爸会在哪里?
TEA: 他是会在房间睡觉呢,还是会在客厅里面吃饭呢,还是会去干吗?",first_person,NP,wh_question,declarative,no,no,会,no,no,no,no,no,no,"teacher: you put him over there.
teacher: where do you think daddy pig will be?
teacher? Will he be sleeping in the room, or eating in the living room, or doing something?",no,no,
57,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 你觉得这是哪里?
CHI: 睡觉的地方.",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: where do you think this is?
child: a place to sleep.",no,no,
58,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 猪妈妈你觉得会在干吗?
TEA: 这是什么意思?
CHI: 饭厅.
TEA: 妈妈在饭厅做什么?
CHI: 嗯做菜.",second_person,NP,wh_question,declarative,no,no,会,no,no,no,no,p_answer,after,"teacher: mummy pig, what do you think (she) will be doing?
teacher: what does this mean?
child: the dining room.
teacher: what is mom/mummy pig doing in the dining room?
child: cooking.",no,no,
59,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 乔治你觉得他在干吗?
TEA: 你来你走过这里来看一看看得更清楚.
TEA: 乔治你觉得他是在干吗?
TEA: 这是在哪呢?
TEA: 这个地方是哪的你觉得?
CHI: 这上面的餐桌.",second_person,third_person,wh_question,declarative,no,no,no,no,no,在,no,no,no,"teacher: george, what do you think he is doing?
teacher: you come and walk here to take a look, you’ll see it more clearly.
teacher: george, what is he doing that you think / what do you think he is doing?
teacher: where is this?
teacher: what do you think this place is?
child: the dining table above.",no,no,
60,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 乔治你觉得他在干吗?
TEA: 你来你走过这里来看一看看得更清楚.
TEA: 乔治你觉得他是在干吗?
TEA: 这是在哪呢?
TEA: 这个地方是哪的你觉得?
CHI: 这上面的餐桌.",second_person,third_person,wh_question,declarative,no,no,是,no,no,在,no,no,no,"teacher: george, what do you think he is doing?
teacher: you come and walk here to take a look, you’ll see it more clearly.
teacher: george, what is he doing that you think / what do you think he is doing?
teacher: where is this?
teacher: what do you think this place is?
child: the dining table above.",no,no,
61,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 乔治你觉得他在干吗?
TEA: 你来你走过这里来看一看看得更清楚.
TEA: 乔治你觉得他是在干吗?
TEA: 这是在哪呢?
TEA: 这个地方是哪的你觉得?
CHI: 这上面的餐桌.",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: george, what do you think he is doing?
teacher: you come and walk here to take a look, you’ll see it more clearly.
teacher: george, what is he doing that you think / what do you think he is doing?
teacher: where is this?
teacher: what do you think this place is?
child: the dining table above.",no,no,
62,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 那乔治的妹妹佩奇这会儿你觉得她是在干吗?
CHI: 嗯?
TEA: 哦,她在干吗呀?
CHI: 弹钢琴.",second_person,third_person,wh_question,declarative,no,no,no,no,no,在,no,direct_p?,after,"teacher: then george’s sister peppa, what do you think she is doing right now?
child: what?
teacher: oh, what is she doing?
child: playing the piano.",direct,after,
63,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 她在弹钢琴. 
TEA: 你觉得她今天会弹什么一首曲子呢?
TEA: <她会弹一首什么歌呢>[/]她会弹一首什么歌曲呢?
TEA: 小星星?
TEA: 点头是代表的什么意思?
CHI: 是.",second_person,third_person,wh_question,declarative,no,no,会,no,no,no,no,direct_p?,after,"teacher: she is playing the piano.
teacher: which song do you think she will play today?
teacher: which song she will play today?
teacher: twinkle twinkle little star?
teacher: what does nodding mean?
child: yes.",direct,after,
64,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 好,你觉得那他到他们家门口之后他会做什么事情?
TEA: 去别人家做客会做什么事情?
CHI: 会(.)还这样走就到了.",second_person,third_person,wh_question,declarative,no,no,会,no,no,no,no,direct_p?,after,"teacher: okay, what do you think then after he is infront of their door, what will he do?
teacher: What do you do when you visit someone’s home?
child: will (action) and also walk like this then we’ll get there.",direct,after,
65,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 好,我们来敲敲门.
TEA: 这个时候你觉得谁会回答?
TEA: 里面的人听到了,他会怎么说.
CHI: 里面有人.",second_person,third_person,wh_question,declarative,no,no,会,no,no,no,no,no,no,"teacher: okay, let’s knock on the door.
teacher: Who do you think would answer at this moment?
teacher: the person inside hear it, what will he/she say?
child: there are people inside.",no,no,
66,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 你觉得猪妈妈会带他们去哪儿呢?
TEA: 去客厅喝茶还是去饭厅吃吃早饭呢,去哪儿?
CHI: 上面去",second_person,NP,wh_question,declarative,no,no,会,no,no,no,no,direct_p?,after,"teacher: where do you think mummy pig will take them?
teacher: to the living room to drink tea, or to the dining room to eat breakfast? Where?
child: to go up.",direct,after,
67,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 好,那你觉得第二个上去的是谁?
CHI: 妈妈.",second_person,NP,wh_question,declarative,no,no,no,no,no,no,no,p_answer,after,"teacher: okay, then, who do you think is the second person to go up/upstairs?
child: mom.",no,no,
68,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: <我觉得>[//]<你觉得他们现在会发生什么事情>[//]你觉得他们会发生什么事情,你用语言来告诉我.
CHI 啊,怎么回事?
TEA: 嗯?
TEA: 会发生什么事呢?",second_person,third_person,wh_question,declarative,no,no,no,no,no,no,no,direct_p?,after,"teacher: <i think>//<what do you think will happen to them now?> what do you think will happen to them now? Tell me in words.
child: ah, what’s going on?
teacher: yes?
teacher: what will happen?",direct,after,
69,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 你觉得他们会发生什么事情呢,接下来?
TEA: 作为主人的妈妈,她可能会说什么呢?
CHI: 他不用吃了.",second_person,third_person,wh_question,declarative,no,no,no,no,no,no,no,direct_p?,after,"teacher: what do you think will happen to them next?
teacher: as the mom of the owner, what will she say?
child: he doesn’t need to eat.",direct,after,
70,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 哎,你看,<弟弟的表情是怎么样的>[//]弟弟的表情是什么样子.
CHI: 把舌头伸出来了出来.
TEA: 把舌头伸出来了是因为觉得这个食物太好吃了吗?
TEA: 嗯,那我们再来看看妹妹.",dropped,NP,declarative,declarative,no,no,no,no,no,no,no,no,no,"teacher: ah look, <what is the little brother’s expression?> what expression is the little brother making?
child: he stuck out his tongue.
teacher: is it because (he) thinks the food is so delicious that he stuck out his tongue?
teacher: okay, then let’s look at the sister.",no,no,
71,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 你觉得妹妹会先吃哪一盘啊?
CHI: 这一盘.",second_person,NP,wh_question,declarative,no,no,会,no,no,no,no,p_answer,after,"teacher: which dish do you think the sister will have first?
child: this dish.",no,no,
72,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 她可能会觉得怎么样?
CHI: 很好吃.
TEA: 这个蛋糕太好吃啦!",third_person,dropped,wh_question,declarative,no,可能，会,no,no,no,no,no,p_answer,after,"teacher: How might she feel?
child: very delicious.
teacher:  this cake is so delicious!",no,no,
73,ZhouAssessment/4.5-5/FJJiang_Mingze,,teacher,"TEA: 吃完了饭,吃完了点心,你觉得嗯,觉得作为乔治妈妈,还有乔治爸爸,还会邀请他们做什么?
TEA: 这个时候,乔治爸爸,他<会不会也出来了>[/]会不会也出来了?
CHI: 会.",second_person,NP,wh_question,declarative,no,no,会,no,no,no,no,direct_p?,after,"tacher: after finishing having the meal, finishing eating the dessert, what do you think, think as george’s mom and george’s dad, what will (they) invite them to do?
teacher: at this point, george’s dad, will he come out?
child: yes.",no,no,
