item,sent_id,verb,discourse_cue,sentence,p,context,cue_sentence,inverted_sentence,subject,embedded_subject,translation,corpus
11,2623,觉得,p,"父亲: 妈妈照一张。
父亲: 妈妈忘了戴帽子。
母亲: 诶妈妈戴哪一顶比较可爱？
母亲: 这顶吼？
父亲: 对呀。
母亲: 觉得这顶比较可爱。
父亲: 妈妈要蹲着啦。
母亲: 好。",这顶比较可爱.,"父亲: 妈妈照一张。
父亲: 妈妈忘了戴帽子。
母亲: 诶妈妈戴哪一顶比较可爱？
母亲: 这顶吼？
父亲: 对呀。
TARGET SENTENCE
父亲: 妈妈要蹲着啦。
母亲: 好。","母亲: 诶妈妈戴哪一顶比较可爱?
母亲: 这顶吼?
父亲: 对呀.","父亲: 妈妈照一张.
父亲: 妈妈忘了戴帽子.
母亲: 诶妈妈戴哪一顶比较可爱?
母亲: 这顶吼?
父亲: 不好.
母亲: 以为这顶比较可爱.
父亲: 妈妈要蹲着啦.
母亲: 好.",dropped,demonstrative + NP,"father: Mom, take a photo.
father: Mom forgot to wear a hat.
mother: Which one looks cuter on mom?
mother: this one?
father: yeah.
mother: (you) think this one is cuter.
father: mom is going to squat down.
mother: okay",ChangPlay/4/003
12,630,觉得,p,"老师: 你看他的这个家是什么样的？
孩子: 这家很好。
老师: 很漂亮，是不是？
孩子: 我挺喜欢这个家的。
老师: 我也很喜欢。
老师: 我觉得这个房子很漂亮。
老师: 你们家是什么样的？
孩子: 我们家不漂亮。",这个房子很漂亮.,"老师: 你看他的这个家是什么样的？
孩子: 这家很好。
老师: 很漂亮，是不是？
孩子: 我挺喜欢这个家的。
老师: 我也很喜欢。
TARGET SENTENCE
老师: 你们家是什么样的？
孩子: 我们家不漂亮。","孩子: 这家很好.
老师: 很漂亮,是不是?","老师: 你看他的这个家是什么样的?
孩子: 这家不好.
老师: 不是很漂亮,是不是?
孩子: 我挺不喜欢这个家的.
老师: 我也不喜欢.
老师: 我觉得这个房子很漂亮.
老师: 你们家是什么样的?
孩子: 我们家不漂亮.",first_person,demonstrative  + NP,"teacher: Look, what is his home like?
child: This home is nice.
teacher: Very pretty, isn’t it?
child: I really like this home.
teacher: I like it too.
teacher: I think this house is pretty.
teacher: What is your home like?
child: Our home is not pretty.",ZhouAssessment/3.5-4/XIANqiaojiarui
13,620,觉得,p,"老师: 你猜猜看可能是什么？
孩子: 洗澡用的。
老师: 洗澡用的什么？
老师: 淋蓬头啊？
孩子: 对啊！
老师: 哦，你觉得是洗澡用的淋蓬头。
老师: 那应该放在什么地方呢？
孩子: 放在洗澡的地方。",(这)是洗澡用的淋蓬头,"老师: 你猜猜看可能是什么？
孩子: 洗澡用的。
老师: 洗澡用的什么？
老师: 淋蓬头啊？
孩子: 对啊！
TARGET SENTENCE
老师: 那应该放在什么地方呢？
孩子: 放在洗澡的地方。","老师: 洗澡用的什么?
老师: 淋蓬头啊?
孩子: 对啊!","老师: 你猜猜看可能是什么?
孩子: 洗澡用的.
老师: 洗澡用的什么?
老师: 淋蓬头啊?
孩子: 对啊!
老师: 哦,你以为是洗澡用的淋蓬头.
老师: 那应该放在什么地方呢?
孩子: 放在洗澡的地方.",second_person,dropped,"teacher: Take a guess what it might be.
child: For showering.
teacher: What exactly is it for showering?
teacher: The shower head?
child: Yeah!
teacher: Oh, you think (it) is the shower head for showering.
teacher: Then where should (we) put (it)?
child: (We should) put (it) where we shower.",ZhouAssessment/3.5-4/NJwangfangshimeng
14,1261,觉得,p,"母亲: 那这个咧。
母亲: 这个在中间。
母亲: 你对对看它要怎么拼。
孩子: 妈妈，这个我不会拼。
母亲: 你可以把它放在这里。
母亲: 我觉得是在这里。
母亲: 你要把它放进去看看吗？
母亲: 对了吗？",(它)是在这里.,"母亲: 那这个咧。
母亲: 这个在中间。
母亲: 你对对看它要怎么拼。
孩子: 妈妈，这个我不会拼。
母亲: 你可以把它放在这里。
TARGET SENTENCE
母亲: 你要把它放进去看看吗？
母亲: 对了吗？",母亲: 你可以把它放在这里.,"母亲: 那这个咧.
母亲: 这个在中间.
母亲: 你对对看它要怎么拼.
孩子: 妈妈,这个我不会拼.
母亲: 你不可以把它放在这里.
母亲: 我以为是在这里.
母亲: 你要把它放进去看看吗?
母亲: 对了吗?",first_person,dropped,"mother: Then what about this one?
mother: This one is in the middle.
mother: You should check and (or try to?) figure out how to put it together.
child: Mom, I can’t/don’t know how to put it together.
mother: You can put it here.
mother: I think (it) is here.
mother: Do you want to try to put it there to see?
mother: Is it right?",NSCtoys/2/d16_3
15,2741,觉得,p,"大人: 哦，你蛮喜欢吃苹果的。
孩子: 是呀哈哈。
大人: 好我们看看下一页是什么。
孩子: 呵呵足球。
孩子: 哈哈好圆呐。
大人: 哦，你觉得这是足球好圆呀。
孩子: 我家有的哈哈。
大人: 那你平时用它来做什么？",这是足球好圆呀.,"大人: 哦，你蛮喜欢吃苹果的。
孩子: 是呀哈哈。
大人: 好我们看看下一页是什么。
孩子: 呵呵足球。
孩子: 哈哈好圆呐。
TARGET SENTENCE
孩子: 我家有的哈哈。
大人: 那你平时用它来做什么？","孩子: 呵呵足球.
孩子: 哈哈好圆呐.","大人: 哦你蛮喜欢吃苹果的.
孩子: 是呀哈哈.
大人: 好我们看看下一页是什么.
孩子: 呵呵足球.
孩子: 哈哈不太圆呐.
大人: 哦你以为这是足球好圆呀.
孩子: 我家有的哈哈.
大人: 那你平时用它来做什么?",second_person,demonstrative,"adult: Oh, you really like to eat apples.
child: Yeah, haha
adult: Okay, let’s see what’s on the next page.
child: Hehe, a soccer ball!
child: Haha, very round!
adult: Oh, you think this is such a round soccer ball!
child: I have it at home.
adult: So what do you usually use it for?",AcadLang/lower/023
16,1145,觉得,p,"母亲: 对啊！
母亲: 可是这个盒子不是这个的吧！
母亲: 是这样吗？
孩子: 压不下去啊！
孩子: 为什么刚刚那里就可以这里就不行？
母亲: 我觉得盒子好像不是这一个。
母亲: 妈妈试一下喔！
母亲: 先...先这样子。",盒子好像不是这一个.,"母亲: 对啊！
母亲: 可是这个盒子不是这个的吧！
母亲: 是这样吗？
孩子: 压不下去啊！
孩子: 为什么刚刚那里就可以这里就不行？
TARGET SENTENCE
母亲: 妈妈试一下喔！
母亲: 先...先这样子。","母亲: 可是这个盒子不是这个的吧!
母亲: 是这样吗?
孩子: 压不下去啊!
孩子: 为什么刚刚那里就可以这里就不行?","母亲: 对啊!
母亲: 可是这个盒子是这个的吧!
母亲: 是这样吗?
孩子: 压不下去啊!
孩子: 为什么刚刚那里就可以这里就不行?
母亲: 我以为盒子好像不是这一个.
母亲: 妈妈试一下喔!
母亲: 先...先这样子.",first_person,NP,"mother: Right!
mother: But this box is not this one! (this box is not for this one)
mother: Is it like this?
child: Can’t push it down!
child: Why does it work there but not here?
mother: I think the box is not this one. (this box is not for this one)
mother: Let mom try it!
mother: Do it like this first.",NSCtoys/5/b03_3
17,1107,觉得,p,"母亲: 是蚊子吗？
孩子: 不是。
母亲: 那是什么？
孩子: 瓢虫。
母亲: 是瓢虫喔。
母亲: 你觉得是瓢虫喔。
母亲: 蜘蛛没有回答。
母亲: 他正忙着织网呢。",是瓢虫.,"母亲: 是蚊子吗？
孩子: 不是。
母亲: 那是什么？
孩子: 瓢虫。
母亲: 是瓢虫喔。
TARGET SENTENCE
母亲: 蜘蛛没有回答。
母亲: 他正忙着织网呢。","孩子: 瓢虫.
母亲: 是瓢虫喔.","母亲: 是蚊子吗?
孩子: 不是.
母亲: 那是什么?
孩子: 瓢虫.
母亲: 不是瓢虫喔.
母亲: 你以为是瓢虫喔.
母亲: 蜘蛛没有回答.
母亲: 他正忙着织网呢.",second_person,dropped,"mother: Is it a mosquito?
child: No.
mother: Then what is it?
child: A ladybug.
mother: Oh, it is a ladybug.
child: You think it is a ladybug.
mother: The spider didn’t respond.
mother: He’s busy spinning the web.",TCCM-reading/b02_205
18,1738,觉得,p,"孩子: 就这个字啊。
母亲: 对。
母亲: 地下室也有大妖怪。
母亲: 你看。
母亲: 地下室也有大妖怪。
母亲: 他觉得地下室里也有大妖怪。
母亲: 外面的垃圾桶也有大妖怪。
母亲: 他都不敢去丢垃圾。",地下室里也有大妖怪.,"孩子: 就这个字啊。
母亲: 对。
母亲: 地下室也有大妖怪。
母亲: 你看。
母亲: 地下室也有大妖怪。
TARGET SENTENCE
母亲: 外面的垃圾桶也有大妖怪。
母亲: 他都不敢去丢垃圾。","母亲: 地下室也有大妖怪.
母亲: 你看.
母亲: 地下室也有大妖怪.","孩子: 就这个字啊.
母亲: 对.
母亲: 地下室没有大妖怪.
母亲: 你看.
母亲: 地下室没有大妖怪.
母亲: 他以为地下室里也有大妖怪.
母亲: 外面的垃圾桶也有大妖怪.
母亲: 他都不敢去丢垃圾.",third_person,NP,"child: This character.
mother: Yeah.
mother: There are monsters in the basement.
mother: Look.
mother: There are monsters in the basement.
mother: He thinks there are monsters in the basement.
mother: There are monsters in the trash can outside.
mother: He is too scared to take out the trash.",LiReading/5/r5ymi12
19,2640,觉得,p,"孩子: 唉呦两眼。
母亲: 那不是眼睛啦。
孩子: 很像啦。
母亲: 好，很像，对啦。
母亲: 很像。
母亲: 刚刚我看的也觉得很像。
孩子: 三眼怪。
母亲: 嗯。",很像.,"孩子: 唉呦两眼。
母亲: 那不是眼睛啦。
孩子: 很像啦。
母亲: 好，很像，对啦。
母亲: 很像。
TARGET SENTENCE
孩子: 三眼怪。
母亲: 嗯。","孩子: 很像啦.
母亲: 好,很像,对啦.
母亲 很像.","孩子: 唉呦两眼.
母亲: 那不是眼睛啦.
孩子: 不像.
母亲: 好, 不像,对啦.
母亲 不像.
母亲: 刚刚我看的也以为很像.
孩子: 三眼怪.
母亲: 嗯.",dropped,dropped,"child: Oh, two eyes.
mother: That is not an eye.
child: (It) looks similar.
mother: Yeah, (it) looks similar, right.
mother: very similar.
mother: I looked just now and also thought it was similar.
child: A three-eyed monster.
mother: Yeah.",ChangPlay/5/015
20,763,觉得,p,"孩子: 还有可以舀水的。
老师: 这么多呀！
老师: 太好玩了。
老师: 我们来看一看这么漂亮的房子是谁的呀？
孩子: 小狐狸的家。
老师: 你觉得是小狐狸的家，我们看看。
孩子: 小狐狸，小狐狸爸爸，小狐狸妈妈，小狐狸宝宝。
老师: 小动物的家有几口人呢？",是小狐狸的家.,"孩子: 还有可以舀水的。
老师: 这么多呀！
老师: 太好玩了。
老师: 我们来看一看这么漂亮的房子是谁的呀？
孩子: 小狐狸的家。
TARGET SENTENCE
孩子: 小狐狸，小狐狸爸爸，小狐狸妈妈，小狐狸宝宝。
老师: 小动物的家有几口人呢？","老师: 我们来看一看这么漂亮的房子是谁的呀?
孩子: 小狐狸的家.",,second_person,dropped,"child: There’s also one you can use to scoop water.
teacher: That’s a lot!
teacher: So fun.
teacher: Let’s see, whose pretty house is this?
teacher: The little fox’s home.
teacher: You think it’s the little fox’s home, let’s see.
child: The little fox, little fox’s dad, little fox’s mom, and little fox’s baby.
mother: How many people are there in the little animal’s home?",ZhouAssessment/4-4.5/ZBsangchenke
101,33,以为,unclear,"实验员: 放回去！
实验员: 你刚刚从这里面弄掉出来的。
实验员: 再把他放进去！
孩子: 不要！
实验员: 要。
实验员: 不然爸爸以为是我们弄坏掉的！
孩子: 爸爸哪有回来！
实验员: 等一下就回来了！",是我们弄坏掉的.,"实验员: 放回去！
实验员: 你刚刚从这里面弄掉出来的。
实验员: 再把他放进去！
孩子: 不要！
实验员: 要。
TARGET SENTENCE
孩子: 爸爸哪有回来！
实验员: 等一下就回来了！",,,NP,dropped,"investigator: put it back!
investigator: This is where you just knocked off from inside.
investigator: put it back in again.
child: no!
investigator: yes! (you should)
investigator: or else dad will think we broke it. 
child: dad dihasn’t come back! 
investigator: (he) will be back soon!",TCCM/chw/31100
102,93,以为,unclear,"母亲: 这是一个好玩...好玩的东西。 
母亲: 你告诉蒋阿姨为什么要怕你牙呢？
孩子: 不知道。
母亲: 我知道。
母亲: 我讲了。
母亲: 他以为那是一个大怪物。
母亲: 他说这怪物的嘴巴这么大。
母亲: 这么厉害。",那是一个大怪物.,"母亲: 这是一个好玩...好玩的东西。 
母亲: 你告诉蒋阿姨为什么要怕你牙呢？
孩子: 不知道。
母亲: 我知道。
母亲: 我讲了。
TARGET SENTENCE
母亲: 他说这怪物的嘴巴这么大。
母亲: 这么厉害。",,,third_person,demonstrative,"mother: This is a funny thing.
mother: Tell Aunty Jiang, why (is it) afraid of your teeth?
child: (I) don’t know.
mother: I know.
mother: I’ll tell.
mother: He incorrectly thought that was a big monster. 
mother: He said this monster had a big mouth. 
mother: That's so awesome.",Erbaugh/Kang/21
103,70,以为,unclear,"孩子: 流血了。
大人: 对。
孩子: 没有了。
姐姐: 没有了啦。
姐姐: 哇，这好漂亮诶。
姐姐: 啊，我刚还以为只有这一边呢。
大人: 这是什么？
姐姐: 这边我来分吧。",只有这一边.,"孩子: 流血了。
大人: 对。
孩子: 没有了。
姐姐: 没有了啦。
姐姐: 哇，这好漂亮诶。
TARGET SENTENCE
大人: 这是什么？
姐姐: 这边我来分吧。",,,first_person,dropped,"child: It’s bleeding.
adult: Yeah.
child: There is no more.
sister: This is no more.
sister: Wow, this is so pretty.
sister: Ah, just now I still incorrectly thought there was only this side.
adult: What is this?
sister: Let me divide this side.",Erbaugh/Peng/16
104,31,以为,unclear,"孩子: 对呀！
大人: 然后这是谁？
孩子: 这是母鸡。
大人: 嗯。
大人: 母鸡看到小妹妹走过去啊。
大人: 以为小妹妹要抓小鸡哦！
大人: 就好生气喔！
大人: 对着妹妹怎么样？",小妹妹要抓小鸡.,"孩子: 对呀！
大人: 然后这是谁？
孩子: 这是母鸡。
大人: 嗯。
大人: 母鸡看到小妹妹走过去啊。
TARGET SENTENCE
大人: 就好生气喔！
大人: 对着妹妹怎么样？",,,dropped,NP,"child: Right!
adult: Then who is this?
child: This is the hen.
adult: Yeah.
adult: The hen saw that the little sister walked over.
adult: (The hen) thought the little sister was going to take the chicks.
adult: And was very angry.
adult: What did the hen do to the little sister?",TCCM/cheng/31000
105,197,以为,unclear,"孩子: 小猫也很想去外面玩。
母亲: 你看，这个主人贴了一个寻猫启事。
母亲: 我给你念念啊，寻猫启事，好不好？
孩子: 好。
母亲: 你消失了。
母亲: 我以为只是一如往常的躲猫猫游戏。
母亲: 你一定是躲在某个角落偷偷的笑我。
母亲: 这已经是第五天， 你躲得太久了。",只是一如往常的躲猫猫游戏.,"孩子: 小猫也很想去外面玩。
母亲: 你看，这个主人贴了一个寻猫启事。
母亲: 我给你念念啊，寻猫启事，好不好？
孩子: 好。
母亲: 你消失了。
母亲: TARGET SENTENCE
母亲: 你一定是躲在某个角落偷偷的笑我。
母亲: 这已经是第五天， 你躲得太久了。",,,first_person,dropped,"child: The kitten also wanted to play outside.
mother: Look, this owner put up a missing cat poster.
mother: Let me read to you.
mother: The missing cat poster, okay?
child: Okay.
mother: You disappeared. I incorrectly thought (it) was just our usual hide-and-seek game.
mother: You must be hiding in some corner, secretly laughing at me.
mother: This is the fifth day. You’ve been hiding for so long.",LiReading/6/r6yfl9
106,89,以为,unclear,"母亲: 那么因为他们怕那些被赶走的坏人再来欺负他们。
母亲: 所以就在门上面贴了这两个人的像。
母亲: 贴着神荼跟郁垒的像。
母亲: 贴在这边。
母亲: 那些坏人一看就不敢来了。
母亲: 就以为这两个巨人还在这里。
母亲: 不敢来了。
母亲: 所以后来这两人贴在门上。",这两个巨人还在这里.,"母亲: 那么因为他们怕那些被赶走的坏人再来欺负他们。
母亲: 所以就在门上面贴了这两个人的像。
母亲: 贴着神荼跟郁垒的像。
母亲: 贴在这边。
母亲: 那些坏人一看就不敢来了。
TARGET SENTENCE
母亲: 不敢来了。
母亲: 所以后来这两人贴在门上。",,,dropped,demonstrative + NP,"mother: so then, because they were worried that the bad people who were chased away would come back and bully them. 
mother: so (they) put the portraits of these two people. 
mother: put up shentu and yulei's portraits.
mother: put (them) up on this side. 
mother: once those bad people saw (the portraits), they wouldn't dare to come back. 
mother: (they would) incorrectly think the two giants were still here. 
mother: (the bad people) didn't dare to come back. 
mother: so these two people were put up on the door. ",Erbaugh/Kang/20
107,90,以为,unclear,"实验员: 理头发又不会痛！
实验员: 不会痛。
实验员: 对不对？
母亲: 你头发好长哎。
母亲: 你看。
母亲: 出去人家都以为你是小女生。
母亲: 人家都要问男的女的？
孩子: 我不要理头发。",你是小女生.,"实验员: 理头发又不会痛！
实验员: 不会痛。
实验员: 对不对？
母亲: 你头发好长哎。
母亲: 你看。
TARGET SENTENCE
母亲: 人家都要问男的女的？
孩子: 我不要理头发。",,,NP,second_person,"investigator: getting a haircut won’t hurt!
investigator: not going to hurt.
investigator: right?
mother: your hair is so long. 
mother: you see. 
mother: (when you) go out, other people will think you're a girl.
mother: other people will all ask, (are you) male or female?
child: i don’t want to get a haircut.",TCCM/chou/20200
